timestamp          , destination   , travel_duration, estimated_arrival_time, destination_temperature, destination_humidity, destination_pressure, destination_wind_speed, destination_cloud_coverage, destination_api_rain_probability, destination_api_prediction, time_of_day, month, historical_prediction_accuracy, model_prediction, model_confidence  , actual_rain, prediction_correctness
2026-05-25 22:59:33, Mannar        ,            14.1, 2026-05-25 23:13:39   ,                   28.2 ,                   61,                 1008,                   4.0 ,                         10,                             0.06,                          0,          23,     5,                         0.88  ,                 ,                   ,         0.0,                     
2026-05-26 01:05:33, Chengannur    ,            25.2, 2026-05-26 01:30:45   ,                   28.4 ,                   64,                 1016,                   3.0 ,                          9,                             0.25,                          0,           1,     5,                         0.89  ,                 ,                   ,         0.0,                     
2026-05-26 03:11:33, Mannar        ,            15.1, 2026-05-26 03:26:39   ,                   17.1 ,                   82,                  999,                   9.2 ,                         78,                             0.78,                          1,           3,     5,                         0.81  ,                 ,                   ,         1.0,                     
2026-05-26 05:17:33, Chengannur    ,            21.5, 2026-05-26 05:39:03   ,                   23.8 ,                   95,                 1005,                  11.8 ,                         70,                             0.81,                          1,           5,     5,                         0.83  ,                 ,                   ,         1.0,                     
2026-05-26 07:23:33, Kozhencherry  ,            25.3, 2026-05-26 07:48:51   ,                   32.0 ,                   49,                 1012,                   2.5 ,                          3,                             0.24,                          0,           7,     5,                         0.88  ,                 ,                   ,         0.0,                     
2026-05-26 09:29:33, Kozhencherry  ,            25.2, 2026-05-26 09:54:45   ,                   32.0 ,                   55,                 1017,                   3.5 ,                         40,                             0.18,                          0,           9,     5,                         0.87  ,                 ,                   ,         0.0,                     
2026-05-26 11:35:33, Chengannur    ,            21.5, 2026-05-26 11:57:03   ,                   21.1 ,                   97,                 1003,                   9.2 ,                         84,                             0.83,                          1,          11,     5,                         0.86  ,                 ,                   ,         1.0,                     
2026-05-26 13:41:33, Chengannur    ,            16.8, 2026-05-26 13:58:21   ,                   27.0 ,                   40,                 1016,                   4.1 ,                         12,                             0.15,                          0,          13,     5,                         0.8   ,                 ,                   ,         0.0,                     
2026-05-26 15:47:33, Chengannur    ,            19.8, 2026-05-26 16:07:21   ,                   32.4 ,                   51,                 1021,                   1.4 ,                         39,                             0.0 ,                          0,          16,     5,                         0.87  ,                 ,                   ,         0.0,                     
2026-05-26 17:53:33, Kozhencherry  ,            23.9, 2026-05-26 18:17:27   ,                   24.3 ,                   52,                 1014,                   3.3 ,                         37,                             0.07,                          0,          18,     5,                         0.85  ,                 ,                   ,         0.0,                     
2026-05-26 19:59:33, Chengannur    ,            15.5, 2026-05-26 20:15:03   ,                   30.0 ,                   39,                 1014,                   4.7 ,                          2,                             0.19,                          0,          20,     5,                         0.82  ,                 ,                   ,         1.0,                     
2026-05-26 22:05:33, Chengannur    ,            17.4, 2026-05-26 22:22:57   ,                   19.4 ,                   97,                  995,                  11.2 ,                         97,                             0.61,                          1,          22,     5,                         0.83  ,                 ,                   ,         0.0,                     
2026-05-27 00:11:33, Kumbanad      ,            22.9, 2026-05-27 00:34:27   ,                   24.1 ,                   39,                 1018,                   3.7 ,                          5,                             0.22,                          0,           0,     5,                         0.81  ,                 ,                   ,         0.0,                     
2026-05-27 02:17:33, Thiruvalla    ,            20.2, 2026-05-27 02:37:45   ,                   30.7 ,                   53,                 1012,                   2.2 ,                         22,                             0.17,                          0,           2,     5,                         0.89  ,                 ,                   ,         0.0,                     
2026-05-27 04:23:33, Chengannur    ,            28.5, 2026-05-27 04:52:03   ,                   21.5 ,                   97,                  995,                  11.6 ,                         71,                             0.78,                          1,           4,     5,                         0.83  ,                 ,                   ,         0.0,                     
2026-05-27 06:29:33, Kumbanad      ,            22.3, 2026-05-27 06:51:51   ,                   19.0 ,                   83,                 1005,                  11.0 ,                         96,                             0.58,                          1,           6,     5,                         0.83  ,                 ,                   ,         1.0,                     
2026-05-27 08:35:33, Kozhencherry  ,            24.1, 2026-05-27 08:59:39   ,                   20.5 ,                   87,                 1000,                   4.4 ,                         77,                             0.67,                          1,           8,     5,                         0.81  ,                 ,                   ,         1.0,                     
2026-05-27 10:41:33, Thiruvalla    ,            16.3, 2026-05-27 10:57:51   ,                   24.3 ,                   62,                 1020,                   2.8 ,                         22,                             0.07,                          0,          10,     5,                         0.87  ,                 ,                   ,         0.0,                     
2026-05-27 12:47:33, Kumbanad      ,            18.8, 2026-05-27 13:06:21   ,                   19.5 ,                   92,                 1003,                  10.3 ,                         78,                             0.56,                          1,          13,     5,                         0.83  ,                 ,                   ,         1.0,                     
2026-05-27 14:53:33, Kozhencherry  ,            27.0, 2026-05-27 15:20:33   ,                   22.4 ,                   97,                 1001,                  10.5 ,                         76,                             0.81,                          1,          15,     5,                         0.84  ,                 ,                   ,         1.0,                     
2026-05-27 16:59:33, Chengannur    ,            17.9, 2026-05-27 17:17:27   ,                   32.7 ,                   42,                 1015,                   4.3 ,                         21,                             0.03,                          0,          17,     5,                         0.85  ,                 ,                   ,         0.0,                     
2026-05-27 19:05:33, Chengannur    ,            17.2, 2026-05-27 19:22:45   ,                   32.9 ,                   57,                 1011,                   2.3 ,                          5,                             0.01,                          0,          19,     5,                         0.89  ,                 ,                   ,         1.0,                     
2026-05-27 21:11:33, Chengannur    ,            26.2, 2026-05-27 21:37:45   ,                   24.4 ,                   55,                 1014,                   1.4 ,                         19,                             0.27,                          0,          21,     5,                         0.8   ,                 ,                   ,         0.0,                     
2026-05-27 23:17:33, Chengannur    ,            20.6, 2026-05-27 23:38:09   ,                   21.8 ,                   85,                 1006,                   8.6 ,                         73,                             0.72,                          1,          23,     5,                         0.87  ,                 ,                   ,         1.0,                     
2026-05-28 01:23:33, Kozhencherry  ,            24.9, 2026-05-28 01:48:27   ,                   29.4 ,                   64,                 1017,                   4.1 ,                         36,                             0.09,                          0,           1,     5,                         0.82  ,                 ,                   ,         0.0,                     
2026-05-28 03:29:33, Chengannur    ,            26.8, 2026-05-28 03:56:21   ,                   27.1 ,                   38,                 1011,                   5.0 ,                         16,                             0.08,                          0,           3,     5,                         0.81  ,                 ,                   ,         0.0,                     
2026-05-28 05:35:33, Chengannur    ,            18.2, 2026-05-28 05:53:45   ,                   27.5 ,                   43,                 1013,                   3.2 ,                         17,                             0.02,                          0,           5,     5,                         0.84  ,                 ,                   ,         0.0,                     
2026-05-28 07:41:33, Kumbanad      ,            22.3, 2026-05-28 08:03:51   ,                   28.0 ,                   66,                 1019,                   3.1 ,                          4,                             0.27,                          0,           8,     5,                         0.87  ,                 ,                   ,         0.0,                     
2026-05-28 09:47:33, Chengannur    ,            28.1, 2026-05-28 10:15:39   ,                   24.5 ,                   61,                 1018,                   3.2 ,                         46,                             0.26,                          0,          10,     5,                         0.83  ,                 ,                   ,         0.0,                     
2026-05-28 11:53:33, Thiruvalla    ,            17.3, 2026-05-28 12:10:51   ,                   25.5 ,                   50,                 1019,                   2.2 ,                         10,                             0.04,                          0,          12,     5,                         0.88  ,                 ,                   ,         0.0,                     
2026-05-28 13:59:33, Thiruvalla    ,            15.5, 2026-05-28 14:15:03   ,                   18.5 ,                   88,                 1003,                   7.7 ,                         71,                             0.87,                          1,          14,     5,                         0.88  ,                 ,                   ,         1.0,                     
2026-05-28 16:05:33, Mannar        ,            15.0, 2026-05-28 16:20:33   ,                   23.5 ,                   93,                 1000,                   4.2 ,                         96,                             0.88,                          1,          16,     5,                         0.84  ,                 ,                   ,         1.0,                     
2026-05-28 18:11:33, Mannar        ,            17.0, 2026-05-28 18:28:33   ,                   23.5 ,                   57,                 1014,                   2.5 ,                         44,                             0.04,                          0,          18,     5,                         0.82  ,                 ,                   ,         0.0,                     
2026-05-28 20:17:33, Mannar        ,            18.3, 2026-05-28 20:35:51   ,                   19.8 ,                   99,                  995,                   7.6 ,                         87,                             0.72,                          1,          20,     5,                         0.88  ,                 ,                   ,         1.0,                     
2026-05-28 22:23:33, Chengannur    ,            28.4, 2026-05-28 22:51:57   ,                   26.5 ,                   48,                 1019,                   1.2 ,                          0,                             0.1 ,                          0,          22,     5,                         0.89  ,                 ,                   ,         0.0,                     
2026-05-29 00:29:33, Chengannur    ,            24.5, 2026-05-29 00:54:03   ,                   21.5 ,                   99,                  999,                   8.8 ,                         88,                             0.74,                          1,           0,     5,                         0.86  ,                 ,                   ,         0.0,                     
2026-05-29 02:35:33, Chengannur    ,            18.3, 2026-05-29 02:53:51   ,                   23.6 ,                   37,                 1021,                   3.7 ,                         45,                             0.18,                          0,           2,     5,                         0.83  ,                 ,                   ,         0.0,                     
2026-05-29 04:41:33, Thiruvalla    ,            17.5, 2026-05-29 04:59:03   ,                   17.6 ,                   80,                 1001,                  11.5 ,                         93,                             0.78,                          1,           4,     5,                         0.87  ,                 ,                   ,         1.0,                     
2026-05-29 06:47:33, Chengannur    ,            19.5, 2026-05-29 07:07:03   ,                   28.9 ,                   51,                 1018,                   3.0 ,                         36,                             0.03,                          0,           7,     5,                         0.82  ,                 ,                   ,         0.0,                     
2026-05-29 08:53:33, Chengannur    ,            25.7, 2026-05-29 09:19:15   ,                   18.9 ,                   82,                  998,                   9.2 ,                         88,                             0.65,                          1,           9,     5,                         0.82  ,                 ,                   ,         1.0,                     
2026-05-29 10:59:33, Kozhencherry  ,            23.9, 2026-05-29 11:23:27   ,                   28.3 ,                   47,                 1010,                   4.5 ,                          1,                             0.17,                          0,          11,     5,                         0.81  ,                 ,                   ,         0.0,                     
2026-05-29 13:05:33, Kumbanad      ,            20.8, 2026-05-29 13:26:21   ,                   20.1 ,                   94,                 1001,                   5.9 ,                         96,                             0.91,                          1,          13,     5,                         0.83  ,                 ,                   ,         1.0,                     
2026-05-29 15:11:33, Mannar        ,            16.5, 2026-05-29 15:28:03   ,                   29.1 ,                   59,                 1010,                   4.0 ,                         42,                             0.19,                          0,          15,     5,                         0.89  ,                 ,                   ,         0.0,                     
2026-05-29 17:17:33, Chengannur    ,            26.7, 2026-05-29 17:44:15   ,                   31.5 ,                   45,                 1010,                   1.6 ,                          1,                             0.27,                          0,          17,     5,                         0.83  ,                 ,                   ,         1.0,                     
2026-05-29 19:23:33, Chengannur    ,            19.6, 2026-05-29 19:43:09   ,                   32.8 ,                   61,                 1012,                   1.1 ,                         37,                             0.01,                          0,          19,     5,                         0.82  ,                 ,                   ,         0.0,                     
2026-05-29 21:29:33, Chengannur    ,            26.3, 2026-05-29 21:55:51   ,                   25.7 ,                   64,                 1019,                   4.7 ,                          7,                             0.15,                          0,          21,     5,                         0.8   ,                 ,                   ,         0.0,                     
2026-05-29 23:35:33, Kozhencherry  ,            24.9, 2026-05-30 00:00:27   ,                   22.3 ,                   92,                 1001,                  10.3 ,                         95,                             0.73,                          1,           0,     5,                         0.87  ,                 ,                   ,         1.0,                     
2026-05-30 01:41:33, Chengannur    ,            17.1, 2026-05-30 01:58:39   ,                   27.9 ,                   45,                 1017,                   1.7 ,                          2,                             0.25,                          0,           1,     5,                         0.83  ,                 ,                   ,         1.0,                     
2026-05-30 03:47:33, Thiruvalla    ,            18.2, 2026-05-30 04:05:45   ,                   24.4 ,                   64,                 1008,                   1.7 ,                         31,                             0.02,                          0,           4,     5,                         0.87  ,                 ,                   ,         0.0,                     
2026-05-30 05:53:33, Kozhencherry  ,            21.8, 2026-05-30 06:15:21   ,                   25.8 ,                   41,                 1015,                   4.2 ,                         39,                             0.04,                          0,           6,     5,                         0.82  ,                 ,                   ,         0.0,                     
2026-05-30 07:59:33, Chengannur    ,            21.3, 2026-05-30 08:20:51   ,                   18.0 ,                   88,                  993,                   6.1 ,                         89,                             0.77,                          1,           8,     5,                         0.8   ,                 ,                   ,         1.0,                     
2026-05-30 10:05:33, Chengannur    ,            22.6, 2026-05-30 10:28:09   ,                   25.4 ,                   50,                 1013,                   2.6 ,                         46,                             0.11,                          0,          10,     5,                         0.84  ,                 ,                   ,         0.0,                     
2026-05-30 12:11:33, Kumbanad      ,            19.3, 2026-05-30 12:30:51   ,                   20.3 ,                   92,                 1001,                   6.0 ,                         95,                             0.8 ,                          1,          12,     5,                         0.88  ,                 ,                   ,         1.0,                     
2026-05-30 14:17:33, Chengannur    ,            19.4, 2026-05-30 14:36:57   ,                   26.2 ,                   38,                 1017,                   1.1 ,                         40,                             0.24,                          0,          14,     5,                         0.87  ,                 ,                   ,         0.0,                     
2026-05-30 16:23:33, Chengannur    ,            18.2, 2026-05-30 16:41:45   ,                   22.8 ,                   91,                  998,                   6.0 ,                         86,                             0.59,                          1,          16,     5,                         0.82  ,                 ,                   ,         1.0,                     
2026-05-30 18:29:33, Kozhencherry  ,            22.9, 2026-05-30 18:52:27   ,                   33.0 ,                   36,                 1015,                   2.7 ,                         16,                             0.03,                          0,          18,     5,                         0.86  ,                 ,                   ,         0.0,                     
2026-05-30 20:35:33, Kumbanad      ,            19.2, 2026-05-30 20:54:45   ,                   24.4 ,                   62,                 1011,                   4.1 ,                         23,                             0.27,                          0,          20,     5,                         0.82  ,                 ,                   ,         0.0,                     
2026-05-30 22:41:33, Chengannur    ,            17.9, 2026-05-30 22:59:27   ,                   20.1 ,                   81,                 1003,                   7.0 ,                         85,                             0.8 ,                          1,          22,     5,                         0.82  ,                 ,                   ,         0.0,                     
2026-05-31 00:47:33, Kumbanad      ,            19.1, 2026-05-31 01:06:39   ,                   25.8 ,                   47,                 1014,                   5.1 ,                         25,                             0.15,                          0,           1,     5,                         0.8   ,                 ,                   ,         0.0,                     
2026-05-31 02:53:33, Chengannur    ,            18.4, 2026-05-31 03:11:57   ,                   29.9 ,                   42,                 1009,                   1.3 ,                         44,                             0.24,                          0,           3,     5,                         0.87  ,                 ,                   ,         0.0,                     
2026-05-31 04:59:33, Kumbanad      ,            18.6, 2026-05-31 05:18:09   ,                   24.2 ,                   39,                 1021,                   3.2 ,                          8,                             0.15,                          0,           5,     5,                         0.88  ,                 ,                   ,         0.0,                     
2026-05-31 07:05:33, Chengannur    ,            18.0, 2026-05-31 07:23:33   ,                   24.8 ,                   66,                 1008,                   4.7 ,                         21,                             0.11,                          0,           7,     5,                         0.89  ,                 ,                   ,         0.0,                     
2026-05-31 09:11:33, Mannar        ,            14.8, 2026-05-31 09:26:21   ,                   29.4 ,                   37,                 1021,                   1.8 ,                          1,                             0.06,                          0,           9,     5,                         0.88  ,                 ,                   ,         0.0,                     
2026-05-31 11:17:33, Thiruvalla    ,            19.3, 2026-05-31 11:36:51   ,                   25.7 ,                   54,                 1008,                   4.2 ,                         24,                             0.2 ,                          0,          11,     5,                         0.8   ,                 ,                   ,         0.0,                     
2026-05-31 13:23:33, Chengannur    ,            16.6, 2026-05-31 13:40:09   ,                   28.8 ,                   38,                 1016,                   1.9 ,                         21,                             0.12,                          0,          13,     5,                         0.83  ,                 ,                   ,         0.0,                     
2026-06-01 21:31:05, Chengannur    ,            15.0, 2026-06-01 21:46:05   ,                   25.56,                   92,                 1012,                   0.46,                         99,                             1.0 ,                          1,          21,     6,                         0.8333,              1.0,  56.00000000000001,         0.0,                    0.0
2026-06-01 21:37:58, Chengannur    ,            25.0, 2026-06-01 22:02:58   ,                   25.56,                   92,                 1012,                   0.46,                         99,                             1.0 ,                          1,          22,     6,                         0.8163,              1.0,  64.0             ,            ,                     
2026-06-01 21:39:35, Chengannur    ,            15.0, 2026-06-01 21:54:35   ,                   25.56,                   92,                 1012,                   0.46,                         99,                             1.0 ,                          1,          21,     6,                         0.8163,              1.0,  69.0             ,            ,                     
2026-06-03 12:50:12, Chengannur    ,            45.0, 2026-06-03 13:35:12   ,                   28.3 ,                   42,                 1020,                   2.2 ,                         14,                             0.17,                          0,          13,     6,                         0.8163,              0.0,  99.0             ,            ,                     
2026-06-03 12:56:28, Thiruvalla    ,            30.0, 2026-06-03 13:26:28   ,                   29.7 ,                   67,                 1010,                   3.83,                         99,                             1.0 ,                          1,          13,     6,                         1.0   ,              0.0,  69.0             ,            ,                     
2026-06-03 13:03:35, Chengannur    ,            45.0, 2026-06-03 13:48:35   ,                   27.2 ,                   60,                 1021,                   1.7 ,                         25,                             0.07,                          0,          13,     6,                         0.8163,              0.0,  99.0             ,            ,                     
2026-06-03 13:07:40, Chengannur    ,            45.0, 2026-06-03 13:52:40   ,                   29.97,                   63,                 1009,                   4.03,                        100,                             1.0 ,                          1,          13,     6,                         0.8163,              0.0,  74.0             ,            ,                     
2026-06-03 13:11:29, kochi         ,           240.0, 2026-06-03 17:11:29   ,                   27.8 ,                   82,                 1009,                   5.16,                        100,                             1.0 ,                          1,          17,     6,                         0.8911,              1.0,  53.0             ,            ,                     
2026-06-03 13:17:26, Kumbanad      ,             0.0, 2026-06-03 13:17:26   ,                   28.4 ,                   67,                 1019,                   4.0 ,                         14,                             0.11,                          0,          13,     6,                         1.0   ,              0.0,  98.0             ,         0.0,                    1.0
2026-06-03 13:17:26, Chengannur    ,            24.0, 2026-06-03 13:41:26   ,                   21.5 ,                   86,                 1008,                   7.2 ,                         89,                             0.93,                          1,          13,     6,                         0.8163,              1.0,  55.00000000000001,         1.0,                    1.0
2026-06-03 13:17:26, Mavelikara    ,            48.0, 2026-06-03 14:05:26   ,                   31.0 ,                   52,                 1010,                   2.4 ,                         17,                             0.2 ,                          0,          14,     6,                         0.8911,              0.0,  97.0             ,         0.0,                    1.0
2026-06-03 13:17:26, Haripad       ,            72.0, 2026-06-03 14:29:26   ,                   30.1 ,                   62,                 1018,                   1.9 ,                         25,                             0.18,                          0,          14,     6,                         0.8911,              0.0,  99.0             ,         0.0,                    1.0
2026-06-03 13:17:26, Alappuzha     ,            96.0, 2026-06-03 14:53:26   ,                   28.0 ,                   63,                 1019,                   1.8 ,                         37,                             0.17,                          0,          14,     6,                         0.8911,              0.0,  98.0             ,         0.0,                    1.0
2026-06-03 13:17:26, Kochi         ,           120.0, 2026-06-03 15:17:26   ,                   22.8 ,                   80,                 1005,                   9.2 ,                         78,                             0.72,                          1,          15,     6,                         0.8911,              1.0,  80.0             ,         1.0,                    1.0
2026-06-03 13:20:38, Kumbanad      ,             0.0, 2026-06-03 13:20:38   ,                   26.6 ,                   90,                 1006,                   1.11,                         99,                             0.9 ,                          1,          13,     6,                         1.0   ,              1.0,  67.0             ,            ,                     
2026-06-03 13:20:38, Eraviperoor   ,             3.9, 2026-06-03 13:24:32   ,                   26.6 ,                   90,                 1007,                   1.11,                         99,                             0.89,                          1,          13,     6,                         0.8972,              1.0,  53.0             ,            ,                     
2026-06-03 13:20:38, Othera        ,             7.0, 2026-06-03 13:27:40   ,                   26.6 ,                   90,                 1007,                   1.11,                         99,                             0.9 ,                          1,          13,     6,                         0.8972,              1.0,  53.0             ,            ,                     
2026-06-03 13:20:38, Kallissery    ,            11.0, 2026-06-03 13:31:35   ,                   26.3 ,                   90,                 1009,                   0.4 ,                         99,                             0.89,                          1,          13,     6,                         0.8972,              0.0,  56.00000000000001,            ,                     
2026-06-03 13:20:38, Chengannur    ,            15.0, 2026-06-03 13:35:38   ,                   26.3 ,                   90,                 1008,                   0.4 ,                         99,                             0.89,                          1,          13,     6,                         0.82  ,              0.0,  51.0             ,            ,                     
2026-06-03 13:22:34, Kumbanad      ,             0.0, 2026-06-03 13:22:34   ,                   26.6 ,                   90,                 1006,                   1.11,                         99,                             0.9 ,                          1,          13,     6,                         1.0   ,              1.0,  67.0             ,            ,                     
2026-06-03 13:22:34, Changanassery ,            17.1, 2026-06-03 13:39:40   ,                   26.5 ,                   87,                 1008,                   1.0 ,                         97,                             0.86,                          1,          13,     6,                         0.8972,              0.0,  52.0             ,            ,                     
2026-06-03 13:22:34, Thumpoly      ,            49.0, 2026-06-03 14:11:37   ,                   27.6 ,                   85,                 1008,                   3.04,                         99,                             0.86,                          1,          14,     6,                         0.8972,              0.0,  51.0             ,            ,                     
